nama_makanan,kalori,protein,lemak,karbo,harga,harga_rp;
spaghetti with meatballs,200.0,8.7,8.2,22.9,,35000;
meat ravioli canned,259.0,8.9,8.9,36.0,,28500;
cheese ravioli canned,186.0,6.0,3.5,33.0,,54500;
premium crispy chicken ranch blt sandwich mcdonalds,586.0,35.3,22.9,59.8,,12000;
steak sandwich,459.0,30.3,14.1,52.0,,64500;
cheeseburger burger king,380.0,19.4,19.7,31.5,,85000;
cheeseburger mcdonalds,313.0,15.4,14.0,33.1,,59500;
double cheeseburger,643.0,37.0,36.9,41.0,,66500;
double hamburger,942.0,52.1,58.6,51.4,,27000;
premium grilled chicken classic sandwich mcdonalds,366.0,28.3,8.6,44.6,,19500;
big n tasty with cheese mcdonalds,573.0,27.2,36.0,39.7,,53000;
premium grilled chicken club sandwich mcdonalds,493.0,38.3,18.0,44.3,,10000;
quarter pounder mcdonalds,417.0,24.1,19.8,37.9,,38500;
premium crispy chicken classic sandwich mcdonalds,524.0,27.8,20.0,58.6,,12500;
veggie burger,124.0,11.0,4.4,10.0,,40000;
quarter pounder with cheese mcdonalds,513.0,29.0,28.3,39.7,,66000;
beef sandwich steak raw,173.0,9.2,15.1,0.0,,66000;
cheeseburger,292.0,15.0,13.2,28.7,,45000;
premium grilled chicken ranch blt sandwich mcdonalds,412.0,33.7,10.9,44.3,,11500;
double whopper with cheese burger king,1061.0,57.7,68.1,53.9,,46500;
big mac mcdonalds,563.0,25.9,32.8,44.0,,18000;
sandwich with cold cuts,833.0,41.1,39.3,79.9,,16500;
filet o fish mcdonalds,378.0,15.1,19.6,35.4,,44500;
hand breaded chicken tenders carls jr,57.0,0.0,2.9,0.2,,15000;
grilled chicken sandwich wendys,370.0,0.0,8.0,0.0,,10000;
sandwich with roast beef,410.0,28.6,13.0,44.3,,64000;
hamburger burger king,258.0,14.7,10.4,26.5,,35500;
big n tasty mcdonalds,524.0,24.7,31.7,38.5,,42000;
roast beef sandwich,364.0,22.6,15.3,33.1,,87500;
roast beef sandwich with cheese,473.0,32.2,18.0,45.4,,78000;
hamburger,255.0,12.9,9.9,28.7,,25500;
premium fish sandwich burger king,572.0,22.6,27.4,58.7,,15000;
whopper burger king,790.0,35.4,48.4,52.8,,34000;
sandwich with tuna salad,584.0,29.7,28.0,55.4,,55000;
original chicken sandwich burger king,569.0,24.2,29.2,52.2,,34000;
double whopper burger king,942.0,52.1,58.6,51.4,,25000;
premium crispy chicken club sandwich mcdonalds,635.0,39.1,29.9,57.4,,23000;
hamburger mcdonalds,251.0,12.3,9.6,28.8,,44000;
pepperoni pizza dominos,308.0,12.7,12.6,36.0,,8500;
sausage pizza,325.0,13.3,14.3,35.5,,28000;
pepperoni pizza,313.0,13.0,13.2,35.5,,38000;
pepperoni pizza pizza hut,269.0,12.3,10.9,30.3,,10000;
cheese pizza pizza hut,260.0,11.5,10.5,30.0,,70500;
cheese pizza,285.0,12.2,10.4,35.7,,52000;
cheese pizza dominos,278.0,11.7,9.7,35.9,,48000;
meat vegetable pizza,332.0,15.0,14.8,34.5,,24000;
sucker raw,146.0,26.6,3.7,0.0,,10000;
northern pike raw,348.0,76.3,2.7,0.0,,11000;
haddock cooked,135.0,30.0,0.8,0.0,,44000;
burbot cooked,104.0,22.3,0.9,0.0,,38000;
pollock cooked,356.0,75.3,3.8,0.0,,30000;
rainbow smelt raw,27.0,5.0,0.7,0.0,,35500;
whitefish cooked,265.0,37.7,11.6,0.0,,43000;
walleye pike raw,148.0,30.4,1.9,0.0,,41500;
carp cooked,275.0,38.9,12.2,0.0,,7500;
wolffish cooked,293.0,53.4,7.3,0.0,,34500;
snapper cooked,218.0,44.7,2.9,0.0,,42500;
roe cooked,58.0,8.1,2.3,0.5,,17500;
anchovy raw,37.0,5.8,1.4,0.0,,26000;
herring raw,291.0,33.0,16.6,0.0,,44500;
cod raw,189.0,41.1,1.5,0.0,,36000;
tilapia raw,111.0,23.3,2.0,0.0,,38000;
whiting cooked,84.0,16.9,1.2,0.0,,15000;
skipjack tuna cooked,407.0,86.9,4.0,0.0,,53500;
salmon cooked,733.0,78.7,44.0,0.0,,49500;
chum salmon cooked,474.0,79.5,14.9,0.0,,58500;
american shad cooked,363.0,31.3,25.4,0.0,,16500;
shark cooked,65.0,5.3,3.9,1.8,,7500;
trout cooked,118.0,16.5,5.3,0.0,,21000;
swordfish raw,196.0,26.7,9.0,0.0,,33500;
rainbow trout cooked,119.0,16.9,5.2,0.0,,34000;
fish sandwich with cheese,374.0,15.1,19.6,35.4,,88500;
jellyfish dried,21.0,3.2,0.8,0.0,,45000;
mullet raw,139.0,23.0,4.5,0.0,,15500;
halibut cooked,353.0,71.7,5.1,0.0,,29000;
lingcod raw,213.0,44.2,2.7,0.0,,29500;
orange roughy cooked,30.0,6.4,0.3,0.0,,23500;
cisco raw,77.0,15.0,1.5,0.0,,30500;
florida pompano cooked,186.0,20.8,10.7,0.0,,32000;
snapper raw,218.0,44.7,2.9,0.0,,27000;
fish sandwich,565.0,22.6,27.4,58.7,,44000;
haddock raw,143.0,31.5,0.9,0.0,,8500;
ocean perch raw,51.0,9.8,1.0,0.0,,27000;
cuttlefish cooked,45.0,9.2,0.4,0.5,,9500;
cod cooked,189.0,41.1,1.5,0.0,,26500;
seatrout raw,248.0,39.8,8.6,0.0,,11000;
flounder raw,114.0,20.2,3.1,0.0,,41500;
spot cooked,79.0,11.9,3.1,0.0,,30500;
walleye pike cooked,148.0,30.4,1.9,0.0,,23500;
perch raw,55.0,11.6,0.6,0.0,,21500;
pumpkin seed sunfish raw,43.0,9.3,0.3,0.0,,44500;
salt mackerel,415.0,25.2,34.1,0.0,,15000;
mackerel cooked,231.0,21.0,15.7,0.0,,27000;
tilapia cooked,111.0,22.8,2.3,0.0,,10500;
drum raw,236.0,34.7,9.8,0.0,,43000;
atlantic croaker fried,192.0,15.8,11.0,6.6,,14500;
pumpkin seed sunfish cooked,42.0,9.2,0.3,0.0,,28000;
wolffish raw,294.0,53.6,7.3,0.0,,25500;
bluefin tuna cooked,276.0,44.9,9.4,0.0,,54000;
scup cooked,68.0,12.1,1.8,0.0,,44000;
herring cooked,290.0,32.9,16.6,0.0,,10500;
bluefish raw,186.0,30.1,6.4,0.0,,25500;
sheepshead cooked,234.0,48.4,3.0,0.0,,41500;
bass cooked,91.0,15.0,2.9,0.0,,29500;
pout cooked,279.0,58.4,3.2,0.0,,26500;
chinook salmon raw,709.0,78.9,41.3,0.0,,63000;
rockfish raw,172.0,35.1,2.6,0.0,,11000;
tilefish raw,371.0,67.6,8.9,0.0,,32500;
scup raw,174.0,31.3,4.5,0.0,,38500;
sablefish cooked,755.0,51.9,59.3,0.0,,28500;
tuna salad,383.0,32.9,19.0,19.3,,45000;
coho salmon cooked,255.0,34.7,11.8,0.0,,52000;
roe raw,20.0,3.1,0.9,0.2,,19000;
sea bass raw,125.0,23.8,2.6,0.0,,27500;
pink salmon cooked,349.0,56.0,12.0,0.0,,64500;
sockeye salmon cooked,493.0,82.1,17.3,0.0,,44000;
whitefish raw,265.0,37.8,11.6,0.0,,15000;
greenland halibut cooked,760.0,58.6,56.4,0.0,,10000;
northern pike cooked,350.0,76.5,2.7,0.0,,24500;
salmon raw,824.0,80.9,53.1,0.0,,60000;
turbot cooked,388.0,65.4,12.0,0.0,,40500;
surimi,28.0,4.3,0.3,1.9,,39500;
chinook salmon cooked,711.0,79.2,41.2,0.0,,44500;
mullet cooked,140.0,23.1,4.5,0.0,,13500;
chum salmon raw,3.0,0.6,0.1,0.0,,84000;
butterfish raw,47.0,5.5,2.6,0.0,,40500;
sea bass cooked,125.0,23.9,2.6,0.0,,17000;
greenland halibut raw,759.0,58.6,56.5,0.0,,16000;
halibut raw,371.0,75.7,5.4,0.0,,33500;
sturgeon cooked,184.0,28.2,7.0,0.0,,8000;
fish fillet fried,211.0,13.3,11.2,15.4,,32000;
rainbow trout raw,111.0,15.8,4.9,0.0,,29000;
pout raw,278.0,58.6,3.2,0.0,,20500;
rainbow smelt cooked,35.0,6.4,0.9,0.0,,34000;
monkfish raw,22.0,4.1,0.4,0.0,,23500;
trout raw,117.0,16.4,5.2,0.0,,34500;
shark raw,37.0,5.9,1.3,0.0,,20500;
burbot raw,104.0,22.4,0.9,0.0,,40000;
dolphinfish cooked,173.0,37.7,1.4,0.0,,20500;
crayfish cooked,25.0,5.0,0.4,0.0,,25500;
dolphinfish raw,173.0,37.7,1.4,0.0,,35500;
perch cooked,54.0,11.4,0.5,0.0,,17500;
cusk raw,106.0,23.2,0.8,0.0,,29000;
bluefin tuna raw,41.0,6.6,1.4,0.0,,86500;
milkfish cooked,54.0,7.4,2.4,0.0,,35500;
carp raw,277.0,38.9,12.2,0.0,,23500;
sturgeon raw,30.0,4.6,1.1,0.0,,30000;
orange roughy raw,22.0,4.6,0.2,0.0,,38000;
catfish fried,199.0,15.7,11.6,7.0,,39500;
cuttlefish raw,22.0,4.6,0.2,0.2,,32500;
bass raw,90.0,14.9,2.9,0.0,,15500;
flounder cooked,109.0,19.4,3.0,0.0,,18000;
milkfish raw,42.0,5.8,1.9,0.0,,44500;
eel raw,375.0,37.6,23.8,0.0,,14000;
catfish raw,189.0,24.2,9.4,0.0,,21500;
fish sticks,78.0,3.1,4.5,6.1,,8500;
coho salmon raw,254.0,33.8,12.2,0.0,,76000;
monkfish cooked,27.0,5.3,0.6,0.0,,41500;
yellowtail cooked,546.0,86.6,19.6,0.0,,11500;
yellowfin tuna cooked,37.0,8.2,0.2,0.0,,62000;
ling cooked,168.0,36.8,1.2,0.0,,23500;
eel cooked,67.0,6.7,4.2,0.0,,10500;
sablefish raw,753.0,51.8,59.1,0.0,,15500;
salmon nuggets,60.0,3.6,3.3,4.0,,67500;
yellowtail raw,546.0,86.5,19.6,0.0,,38500;
butterfish cooked,47.0,5.5,2.6,0.0,,58500;
caviar,42.0,3.9,2.9,0.6,,11000;
pollock raw,355.0,75.0,3.8,0.0,,19500;
catfish cooked,206.0,26.4,10.3,0.0,,34500;
whiting raw,83.0,16.8,1.2,0.0,,28000;
pink salmon raw,404.0,65.2,14.0,0.0,,49000;
yellowfin tuna raw,31.0,6.9,0.1,0.0,,49500;
mackerel raw,230.0,20.8,15.6,0.0,,38000;
turbot raw,388.0,65.5,12.0,0.0,,29500;
cusk cooked,106.0,23.1,0.8,0.0,,20500;
atlantic croaker raw,82.0,14.0,2.5,0.0,,30500;
sucker cooked,148.0,26.6,3.7,0.0,,10500;
spot raw,79.0,11.8,3.1,0.0,,29500;
drum cooked,236.0,34.6,9.7,0.0,,19500;
crayfish raw,3.0,0.6,0.048,0.0,,7000;
tilefish cooked,441.0,73.5,14.1,0.0,,26000;
bluefish cooked,186.0,30.1,6.4,0.0,,11500;
grouper cooked,238.0,50.2,2.6,0.0,,27000;
sheepshead raw,257.0,48.1,5.7,0.0,,14500;
herring kippered,87.0,9.8,4.9,0.0,,14000;
grouper raw,238.0,50.2,2.6,0.0,,7500;
ocean perch cooked,48.0,9.3,0.9,0.0,,24000;
ling raw,168.0,36.7,1.2,0.0,,36000;
lingcod cooked,329.0,68.4,4.1,0.0,,14000;
florida pompano raw,184.0,20.7,10.6,0.0,,35500;
rockfish cooked,162.0,33.1,2.4,0.0,,34500;
seatrout cooked,247.0,39.9,8.6,0.0,,5500;
sockeye salmon raw,562.0,84.4,22.2,0.0,,26500;
swordfish cooked,182.0,24.9,8.4,0.0,,22000;
american shad raw,362.0,31.2,25.3,0.0,,19000;
sardine canned in oil,310.0,36.7,17.1,0.0,,64500;
anchovy canned in oil,8.0,1.2,0.4,0.0,,55000;
salmon canned,520.0,79.1,20.3,0.0,,54500;
sardines in tomato sauce canned,165.0,18.6,9.3,0.5,,24500;
sockeye salmon canned,563.0,79.5,24.9,0.0,,31000;
tuna canned,102.0,18.9,2.4,0.0,,63000;
pink salmon canned,530.0,80.9,20.4,0.0,,54000;
cod canned,328.0,71.0,2.7,0.0,,12500;
eastern oyster canned,110.0,11.4,4.0,6.3,,38000;
chum salmon canned,520.0,79.1,20.3,0.0,,60000;
tuna canned in oil,331.0,47.2,14.4,0.0,,69500;
wild pink salmon oceans,320.0,0.0,16.0,0.0,,48500;
shrimp canned,128.0,26.1,1.7,0.0,,48000;
alaska king crab raw,144.0,31.5,1.0,0.0,,28000;
scallops fried,64.0,2.6,3.2,6.4,,21000;
shrimp cooked,7.0,1.3,0.092,0.013,,84500;
clams fried,19.0,1.3,1.0,1.0,,17500;
alaska king crab cooked,130.0,25.9,2.1,0.0,,10500;
scallops cooked,11.0,2.1,0.058,0.5,,39500;
squid fried,140.0,14.4,6.0,6.2,,28500;
oyster raw,41.0,4.7,1.2,2.5,,9500;
abalone,89.0,14.5,0.6,5.1,,39500;
queen crab raw,25.0,5.2,0.3,0.0,,40500;
whelk cooked,78.0,13.5,0.2,4.4,,38000;
oyster cooked,41.0,4.7,1.2,2.5,,38500;
eastern oyster cooked,8.0,0.7,0.2,0.7,,41500;
blue mussels cooked,344.0,47.6,9.0,14.8,,6500;
octopus raw,23.0,4.2,0.3,0.6,,30500;
spiny lobster cooked,233.0,43.0,3.2,5.1,,36000;
blue mussels raw,129.0,17.9,3.4,5.5,,8000;
queen crab cooked,98.0,20.2,1.3,0.0,,30500;
dungeness crab cooked,140.0,28.3,1.6,1.2,,29500;
dungeness crab raw,140.0,28.4,1.6,1.2,,21500;
shrimp fried,52.0,1.3,3.2,4.8,,44500;
shrimp raw,4.0,0.7,0.023,0.041,,47000;
blue crab cooked,71.0,15.2,0.6,0.0,,21000;
shrimp imitation,29.0,3.5,0.4,2.6,,48500;
conch baked,165.0,33.4,1.5,2.2,,13500;
squid raw,26.0,4.4,0.4,0.9,,8000;
scallop raw,10.0,1.8,0.091,0.5,,28000;
lobster raw,116.0,24.8,1.1,0.0,,41000;
scallop imitation,28.0,3.6,0.1,3.0,,27000;
blue crab raw,18.0,3.8,0.2,0.018,,16500;
whelk raw,39.0,6.7,0.1,2.2,,35500;
spiny lobster raw,234.0,43.1,3.2,5.1,,36500;
clams canned,227.0,38.8,2.5,9.4,,17000;
lobster cooked,134.0,28.5,1.3,0.0,,14000;
eastern oyster fried,29.0,1.3,1.8,1.7,,9000;
clams raw,195.0,33.3,2.2,8.1,,35000;
octopus cooked,139.0,25.3,1.8,3.7,,7500;
eastern oyster raw,8.0,0.7,0.2,0.8,,24000;
oyster fried,61.0,2.1,3.0,6.7,,18000;
sturgeon smoked,49.0,8.8,1.2,0.0,,8000;
chinook salmon smoked,159.0,24.9,5.9,0.0,,36000;
cisco smoked,50.0,4.6,3.4,0.0,,25500;
haddock smoked,33.0,7.1,0.3,0.0,,25500;
whitefish smoked,147.0,31.8,1.3,0.0,,39000;
red salmon sockeye filets smoked,373.0,65.5,12.3,0.0,,77000;
nectarine,66.0,1.6,0.5,15.8,,21500;
kiwifruit gold,51.0,0.8,0.2,12.8,,7500;
prickly pear raw,8.0,0.001,0.072,1.9,,17500;
pineapple,45.0,0.5,0.1,11.8,,24000;
rowan,253.0,5.2,4.6,54.5,,28500;
muscadine grapes,3.0,0.014,0.056,0.8,,8000;
heidelbeeren jutro,17.0,0.0,0.2,0.4,,27000;
prunes stewed,316.0,3.4,0.7,83.2,,23000;
tangerine,40.0,0.6,0.2,10.1,,13000;
prunes,237.0,2.6,0.5,62.3,,29000;
lemon peel,1.0,0.032,0.002,0.3,,33500;
banana,134.0,1.6,0.5,34.3,,31000;
raspberries,5.0,0.1,0.034,1.2,,34000;
apricot,17.0,0.5,0.1,3.9,,30500;
strawberry guava,4.0,0.01,0.008,1.0,,27000;
kiwifruit green,42.0,0.8,0.4,10.1,,17000;
figs,37.0,0.4,0.2,9.6,,37500;
clementine,35.0,0.6,0.1,8.9,,37500;
orange,86.0,1.7,0.2,21.6,,29000;
bartlett pear,112.0,0.7,0.3,26.6,,39000;
red white currants,63.0,1.6,0.2,15.5,,22500;
blueberries,84.0,1.1,0.5,21.4,,10500;
mulberries,6.0,0.2,0.049,1.5,,33000;
java plum,2.0,0.034,0.029,0.5,,10000;
prune puree,46.0,0.4,0.02,11.7,,33000;
applesauce,102.0,0.4,0.2,27.5,,44500;
blackberries raw,62.0,2.0,0.7,13.8,,17000;
plum,30.0,0.5,0.2,7.5,,40500;
american grapes,2.0,0.035,0.087,0.4,,24500;
peach,59.0,1.4,0.4,14.3,,26000;
honeydew melon,64.0,1.0,0.2,16.1,,11500;
yellow plantain fried,399.0,2.4,12.7,68.9,,10000;
rose hips,206.0,2.0,0.4,48.5,,26500;
lemons,17.0,0.6,0.2,5.4,,24500;
lime,20.0,0.5,0.1,7.1,,25000;
pomegranate,117.0,2.4,1.6,26.4,,34000;
gooseberries,66.0,1.3,0.9,15.3,,44500;
asian pear,51.0,0.6,0.3,13.0,,33000;
abiyuch,157.0,3.4,0.2,40.1,,16000;
horned melon kiwano,92.0,3.7,2.6,15.8,,34000;
fruit walnut salad mcdonalds,312.0,4.8,13.3,43.8,,28000;
grapefruit,53.0,1.0,0.2,13.3,,34500;
japanese persimmon,118.0,1.0,0.3,31.2,,8000;
wild raspberries,81.0,1.5,0.4,18.0,,28000;
pink lady apple,18.0,0.1,0.1,3.9,,33500;
maraschino cherries,8.0,0.06,0.083,2.1,,23000;
black currants,71.0,1.6,0.5,17.2,,9000;
plantain cooked,179.0,1.2,0.3,48.0,,10000;
crab apple,84.0,0.4,0.3,21.9,,31500;
pom potes materne,19.0,0.0,0.2,0.2,,29000;
apple,95.0,0.5,0.3,25.1,,38500;
cantaloupe melon,60.0,1.5,0.3,14.4,,15500;
prickly pear cooked,7.0,0.091,0.043,1.6,,7000;
guava,37.0,1.4,0.5,7.9,,14500;
strawberries,4.0,0.01,0.069,0.9,,45000;
japanese persimmon dried,93.0,0.5,0.2,25.0,,33500;
watermelon,86.0,1.7,0.4,21.6,,7500;
elderberries,106.0,1.0,0.7,26.7,,13500;
kumquat,13.0,0.4,0.2,3.0,,9500;
orange peel,6.0,0.093,0.017,1.5,,20500;
pokeberry shoots cooked,33.0,3.8,0.7,5.1,,29000;
breadfruit,227.0,2.4,0.5,59.7,,28500;
pear,101.0,0.6,0.2,27.1,,30000;
sour cherries,52.0,1.0,0.3,12.5,,42000;
plantain raw,218.0,2.3,0.6,57.1,,7000;
blackberries frozen,97.0,1.8,0.6,23.7,,44500;
cherries,5.0,0.068,0.056,1.3,,15000;
plantain fried,16.0,0.023,0.6,2.6,,34500;
carambola starfruit,26.0,0.9,0.3,5.7,,29500;
chayote cooked,35.0,1.0,0.8,7.2,,29500;
apple dippers mcdonalds,33.0,0.0,0.0,8.2,,34000;
white grapefruit,78.0,1.6,0.2,19.8,,10000;
cherimoya,176.0,3.7,1.6,41.6,,42500;
melon balls,57.0,1.5,0.4,13.7,,14000;
golden delicious apple,62.0,0.3,0.2,14.8,,39500;
pokeberry shoots raw,37.0,4.2,0.6,5.9,,29000;
cranberries,21.0,0.2,0.014,5.4,,31000;
quince,52.0,0.4,0.012,14.1,,25500;
chayote raw,25.0,1.1,0.2,6.0,,23500;
orange with peel,100.0,2.1,0.5,24.6,,21500;
chokecherries,249.0,4.7,2.6,51.8,,12500;
mango,202.0,2.8,1.3,50.3,,6500;
wild plum,147.0,0.7,0.3,35.3,,17000;
jeijoa,148.0,1.7,1.0,37.0,,37500;
groundcherries,74.0,2.7,1.0,15.7,,39000;
pesca,30.0,0.0,0.1,0.0,,30500;
persimmon,32.0,0.2,0.1,8.4,,42000;
grapes,3.0,0.045,0.044,0.9,,12500;
rambutan canned,175.0,1.4,0.4,44.7,,22000;
figs canned,14.0,0.1,0.039,3.8,,22000;
prunes canned,246.0,2.0,0.5,65.1,,34000;
pineapples canned,28.0,0.2,0.05,7.4,,19000;
prune plums canned,27.0,0.2,0.075,7.0,,23500;
tangerines canned,92.0,1.5,0.1,23.8,,37000;
fruit cocktail canned,109.0,1.1,0.053,28.1,,18000;
sour cherries canned,189.0,1.9,0.3,48.6,,13000;
mangosteen canned,143.0,0.8,1.1,35.1,,14000;
apricot juice,117.0,1.5,0.07,30.1,,10000;
strawberries canned,234.0,1.4,0.7,59.8,,34500;
peach canned,110.0,1.6,0.094,28.9,,16500;
fruit salad canned,125.0,1.3,0.008,32.5,,34000;
gooseberries canned,184.0,1.6,0.5,47.3,,11000;
grapefruit canned,88.0,1.4,0.2,22.3,,26000;
pear canned,38.0,0.3,0.001,9.8,,28000;
raspberries canned,233.0,2.1,0.3,59.8,,9500;
papaya canned,80.0,0.001,0.2,21.8,,41000;
grapes canned,98.0,1.2,0.3,25.2,,40500;
apple dried,145.0,0.6,0.2,39.1,,24000;
peach dried,199.0,3.0,0.6,50.8,,24500;
plantain chips,150.0,0.6,8.4,18.1,,15500;
golden raisins,498.0,5.6,0.8,131.2,,16500;
raisins seeded,488.0,4.2,0.9,129.5,,28500;
zante currants dried,408.0,5.9,0.4,106.7,,38500;
pear dried,94.0,0.7,0.2,25.1,,19500;
raisins,90.0,1.0,0.056,23.8,,13000;
prune plums dried,308.0,2.7,0.5,81.5,,18000;
cranberries dried,370.0,0.053,1.6,98.8,,14000;
figs dried,21.0,0.3,0.008,5.4,,20500;
longans dried,5.0,0.027,0.091,1.3,,37500;
banana chips,147.0,0.7,9.5,16.5,,6500;
lychee dried,7.0,0.01,0.003,1.8,,28500;
apricot dried,17.0,0.2,0.015,4.4,,41500;
longan,2.0,0.009,0.076,0.5,,42500;
mamey sapote,217.0,2.5,0.8,56.2,,29000;
waxgourd cooked,19.0,0.7,0.4,4.3,,35500;
jackfruit,33.0,0.6,0.2,8.1,,41000;
loquats,9.0,0.09,0.071,2.4,,13500;
mammy apple mamey,431.0,4.2,4.2,105.8,,10500;
nance,82.0,0.7,1.3,19.0,,9500;
coconut whole coconut,3336.0,0.0,71.5,0.0,,25500;
prickly pear,42.0,0.8,0.5,9.9,,31000;
lychee,6.0,0.024,0.016,1.6,,36500;
naranjilla lulo pulp,30.0,0.5,0.3,7.1,,39500;
coconut meat dried,187.0,1.9,18.3,6.7,,32000;
waxgourd raw,17.0,0.5,0.3,4.0,,32000;
surinam cherry pitanga,2.0,0.045,0.059,0.5,,42500;
passion fruit,17.0,0.4,0.1,4.2,,10000;
sapodilla,141.0,0.7,1.9,33.9,,13000;
pummelo,48.0,1.0,0.06,12.0,,26000;
coconut meat,1405.0,13.2,133.0,60.5,,10000;
soursop,149.0,2.3,0.7,37.9,,34500;
papaya,62.0,0.7,0.4,15.7,,35500;
acerola cherry,2.0,0.079,0.052,0.4,,39000;
ohelo berries,39.0,0.5,0.3,9.6,,27500;
loganberries,81.0,2.2,0.5,19.1,,13500;
casaba melon,48.0,1.9,0.2,11.2,,41000;
durian,51.0,0.5,1.9,9.5,,43500;
coriander leaves raw,4.0,0.3,0.086,0.6,,17000;
garden cress raw,3.0,0.2,0.062,0.5,,13500;
pasilla peppers dried,24.0,0.9,1.1,3.6,,33500;
parsley dried,1.0,0.1,0.096,0.3,,38000;
ancho pepper dried,48.0,2.0,1.4,8.7,,8500;
coriander seeds,5.0,0.2,0.3,1.0,,13000;
dill weed dried,253.0,20.0,4.4,55.8,,39000;
borage,19.0,1.6,0.6,2.7,,15000;
epazote,0.0,0.059,0.06,0.094,,25000;
chives dried,1.0,0.013,0.055,0.1,,16000;
thyme fresh,1.0,0.091,0.068,0.2,,15500;
butterbur,4.0,0.1,0.2,0.5,,56000;
wasabi root,142.0,6.2,0.8,30.6,,27500;
rosemary dried,4.0,0.081,0.2,0.8,,39000;
ginger root,2.0,0.068,0.028,0.4,,23500;
white pepper,7.0,0.2,0.0,1.6,,10000;
cloves ground,6.0,0.1,0.3,1.4,,21500;
paprika,19.0,1.0,0.9,3.7,,18000;
mace ground,25.0,0.4,1.7,2.7,,41000;
bay leaf,2.0,0.086,0.042,0.4,,23000;
eppaw,150.0,4.6,1.8,31.7,,13000;
tarragon dried,2.0,0.1,0.047,0.3,,25000;
ginger ground,6.0,0.2,0.043,1.3,,40000;
savory ground,4.0,0.074,0.029,1.0,,11000;
black pepper,6.0,0.2,0.006,1.5,,38000;
spearmint fresh,3.0,0.2,0.089,0.5,,16000;
poultry seasoning,14.0,0.4,0.3,2.9,,44000;
nutmeg ground,12.0,0.1,0.8,1.1,,43000;
curry powder,20.0,0.8,0.9,3.7,,15000;
peppermint,1.0,0.038,0.004,0.2,,16000;
salt,0.0,0.0,0.0,0.0,,44500;
coriander leaves dried,2.0,0.1,0.098,0.3,,27000;
sage ground,2.0,0.058,0.046,0.4,,42000;
garlic powder,10.0,0.5,0.029,2.3,,7500;
dill weed fresh,4.0,0.3,0.063,0.6,,7000;
cardamom,6.0,0.2,0.1,1.4,,10500;
saffron,2.0,0.071,0.092,0.5,,8000;
allspice ground,5.0,0.1,0.2,1.4,,43000;
parsley fresh,1.0,0.1,0.078,0.2,,22500;
oregano dried,265.0,9.0,4.3,68.9,,19000;
marjoram dried,5.0,0.2,0.1,1.0,,42500;
chives raw,1.0,0.03,0.088,0.1,,32500;
fireweed leaves,24.0,1.1,0.6,4.4,,7000;
rosemary fresh,1.0,0.005,0.1,0.1,,37500;
garlic,4.0,0.2,0.026,0.9,,41000;
cinnamon ground,6.0,0.1,0.044,2.1,,24000;
chervil dried,5.0,0.4,0.002,0.9,,25000;
cayenne pepper,1.0,0.039,0.094,0.2,,36500;
turmeric ground,8.0,0.2,0.2,1.4,,21000;
mustard,3.0,0.2,0.2,0.3,,31500;
chili powder,8.0,0.4,0.4,1.3,,24500;
thyme dried,276.0,9.1,7.4,63.9,,34500;
spearmint dried,1.0,0.094,0.018,0.3,,10000;
basil dried,2.0,0.2,0.027,0.3,,9000;
dandelion greens cooked,35.0,2.1,0.6,6.7,,15500;
basil fresh,2.0,0.2,0.089,0.2,,34000;
dock,29.0,2.7,0.9,4.3,,32000;
garden cress cooked,31.0,2.6,0.8,5.1,,36500;
onion powder,8.0,0.2,0.024,1.9,,35500;
dandelion greens raw,25.0,1.5,0.4,5.1,,18500;
yokan,36.0,0.5,0.022,8.5,,27500;
fava beans cooked,187.0,12.9,0.7,33.4,,45000;
french beans raw,631.0,34.6,3.7,118.0,,14500;
chickpeas canned,352.0,17.8,7.0,57.0,,25500;
yellow beans cooked,255.0,16.2,1.9,44.7,,26000;
mung beans cooked,212.0,14.2,0.8,38.7,,27500;
white beans canned,299.0,19.0,0.8,55.5,,31000;
pink beans cooked,252.0,15.3,0.8,47.2,,13500;
pink beans raw,720.0,44.0,2.4,134.8,,29500;
navy beans raw,701.0,46.4,3.1,126.4,,38500;
snap beans cooked,44.0,2.4,0.4,9.9,,42000;
black eyed cowpeas raw,131.0,4.3,0.5,27.3,,12000;
edamame cooked,189.0,18.5,8.1,13.8,,26000;
black eyed cowpeas cooked,160.0,5.2,0.6,33.5,,21000;
hyacinth beans cooked,227.0,15.8,1.1,40.2,,35500;
cowpeas canned,185.0,11.4,1.3,32.7,,13000;
pinto beans cooked,245.0,15.4,1.1,44.8,,22500;
winged beans cooked,253.0,18.3,10.0,25.7,,34500;
pinto beans raw,670.0,41.3,2.4,120.7,,21000;
black turtle beans raw,624.0,39.1,1.7,116.4,,14000;
fava beans raw,512.0,39.2,2.3,87.4,,11500;
lima beans canned,190.0,11.9,0.4,35.9,,8500;
hyacinth beans raw,722.0,50.2,3.5,127.6,,24000;
white beans raw,673.0,47.2,1.7,121.7,,30000;
snap beans canned,66.0,3.5,0.4,15.4,,32500;
navy beans canned,296.0,19.7,1.1,53.6,,21500;
mung beans raw,718.0,49.4,2.4,129.6,,15500;
adzuki beans raw,648.0,39.1,1.0,123.9,,26500;
black turtle beans cooked,241.0,15.1,0.6,45.0,,43000;
pink lentils raw,662.0,47.9,4.2,113.6,,25500;
yellow beans raw,676.0,43.1,5.1,119.0,,17500;
